Fecha;Valor
01-01-2019;54
02-01-2019;52
03-01-2019;51
04-01-2019;50
05-01-2019;49
06-01-2019;48
07-01-2019;46
08-01-2019;46
09-01-2019;44
10-01-2019;44
11-01-2019;43
12-01-2019;42
13-01-2019;40
14-01-2019;40
15-01-2019;41
16-01-2019;45
17-01-2019;48
18-01-2019;45
19-01-2019;45
20-01-2019;49
21-01-2019;62
22-01-2019;222
23-01-2019;263
24-01-2019;788
25-01-2019;1447
26-01-2019;1742
27-01-2019;1116
28-01-2019;642
29-01-2019;957
30-01-2019;979
31-01-2019;849
01-02-2019;1078
02-02-2019;1315
03-02-2019;1143
04-02-2019;862
05-02-2019;664
06-02-2019;689
07-02-2019;700
08-02-2019;639
09-02-2019;563
10-02-2019;487
11-02-2019;496
12-02-2019;552
13-02-2019;455
14-02-2019;387
15-02-2019;340
16-02-2019;299
17-02-2019;272
18-02-2019;252
19-02-2019;244
20-02-2019;238
21-02-2019;215
22-02-2019;200
23-02-2019;186
24-02-2019;176
25-02-2019;170
26-02-2019;155
27-02-2019;152
28-02-2019;145
01-03-2019;141
02-03-2019;135
03-03-2019;124
04-03-2019;121
05-03-2019;113
06-03-2019;112
07-03-2019;118
08-03-2019;123
09-03-2019;122
10-03-2019;123
11-03-2019;116
12-03-2019;116
13-03-2019;115
14-03-2019;110
15-03-2019;128
16-03-2019;122
17-03-2019;108
18-03-2019;94
19-03-2019;88
20-03-2019;121
21-03-2019;148
22-03-2019;132
23-03-2019;121
24-03-2019;105
25-03-2019;88
26-03-2019;82
27-03-2019;72
28-03-2019;70
29-03-2019;65
30-03-2019;61
31-03-2019;58
01-04-2019;60
02-04-2019;59
03-04-2019;57
04-04-2019;58
05-04-2019;60
06-04-2019;64
07-04-2019;70
08-04-2019;77
09-04-2019;70
10-04-2019;79
11-04-2019;78
12-04-2019;96
13-04-2019;97
14-04-2019;94
15-04-2019;84
16-04-2019;106
17-04-2019;152
18-04-2019;127
19-04-2019;127
20-04-2019;194
